,year_month,total_crashes,population,growth_rate,crashes_per_capita
1,2012_11,1158,1495000,0.0425,0.0007745819397993311
2,2012_12,1236,1495000,0.0425,0.0008267558528428094
3,2013_1,1059,1558000,0.0421,0.0006797175866495507
4,2013_10,1306,1558000,0.0421,0.0008382541720154044
5,2013_11,1106,1558000,0.0421,0.0007098844672657253
6,2013_12,1104,1558000,0.0421,0.0007086007702182285
7,2013_2,1149,1558000,0.0421,0.0007374839537869063
8,2013_3,1296,1558000,0.0421,0.0008318356867779204
9,2013_4,1217,1558000,0.0421,0.0007811296534017972
10,2013_5,1187,1558000,0.0421,0.0007618741976893453
11,2013_6,1201,1558000,0.0421,0.0007708600770218229
12,2013_7,1078,1558000,0.0421,0.0006919127086007702
13,2013_8,1210,1558000,0.0421,0.0007766367137355584
14,2013_9,1181,1558000,0.0421,0.0007580231065468549
15,2014_1,1209,1623000,0.0417,0.0007449168207024029
16,2014_10,1246,1623000,0.0417,0.0007677141096734442
17,2014_11,1168,1623000,0.0417,0.0007196549599507086
18,2014_12,1118,1623000,0.0417,0.0006888478126925447
19,2014_2,1033,1623000,0.0417,0.000636475662353666
20,2014_3,1244,1623000,0.0417,0.0007664818237831176
21,2014_4,1147,1623000,0.0417,0.0007067159581022797
22,2014_5,1105,1623000,0.0417,0.0006808379544054221
23,2014_6,1125,1623000,0.0417,0.0006931608133086876
24,2014_7,1069,1623000,0.0417,0.000658656808379544
25,2014_8,1085,1623000,0.0417,0.0006685150955021565
26,2014_9,1113,1623000,0.0417,0.0006857670979667283
27,2015_1,1135,1692000,0.0425,0.0006708037825059102
28,2015_10,1470,1692000,0.0425,0.0008687943262411348
29,2015_11,1269,1692000,0.0425,0.00075
30,2015_12,1297,1692000,0.0425,0.000766548463356974
31,2015_2,1134,1692000,0.0425,0.0006702127659574468
32,2015_3,1286,1692000,0.0425,0.0007600472813238771
33,2015_4,1245,1692000,0.0425,0.0007358156028368794
34,2015_5,1286,1692000,0.0425,0.0007600472813238771
35,2015_6,1271,1692000,0.0425,0.0007511820330969268
36,2015_7,1219,1692000,0.0425,0.0007204491725768321
37,2015_8,1274,1692000,0.0425,0.0007529550827423168
38,2015_9,1309,1692000,0.0425,0.0007736406619385343
39,2016_1,1334,1763000,0.042,0.0007566647759500851
40,2016_10,1522,1763000,0.042,0.0008633011911514464
41,2016_11,1405,1763000,0.042,0.0007969370391378332
42,2016_12,1485,1763000,0.042,0.0008423142370958594
43,2016_2,1342,1763000,0.042,0.0007612024957458877
44,2016_3,1488,1763000,0.042,0.0008440158820192853
45,2016_4,1452,1763000,0.042,0.0008235961429381736
46,2016_5,1384,1763000,0.042,0.0007850255246738514
47,2016_6,1328,1763000,0.042,0.0007532614861032332
48,2016_7,1304,1763000,0.042,0.0007396483267158253
49,2016_8,1394,1763000,0.042,0.0007906976744186047
50,2016_9,1367,1763000,0.042,0.0007753828701077708
51,2017_1,1352,1838000,0.0425,0.000735582154515778
52,2017_10,1453,1838000,0.0425,0.0007905331882480958
53,2017_11,1310,1838000,0.0425,0.0007127312295973885
54,2017_12,1355,1838000,0.0425,0.0007372143634385201
55,2017_2,1282,1838000,0.0425,0.0006974972796517955
56,2017_3,1501,1838000,0.0425,0.0008166485310119695
57,2017_4,1311,1838000,0.0425,0.0007132752992383025
58,2017_5,1394,1838000,0.0425,0.0007584330794341676
59,2017_6,1279,1838000,0.0425,0.0006958650707290533
60,2017_7,1292,1838000,0.0425,0.0007029379760609358
61,2017_8,1354,1838000,0.0425,0.0007366702937976061
62,2017_9,1375,1838000,0.0425,0.0007480957562568008
63,2018_1,1261,1915000,0.0419,0.000658485639686684
64,2018_10,1500,1915000,0.0419,0.000783289817232376
65,2018_11,1341,1915000,0.0419,0.0007002610966057441
66,2018_12,1456,1915000,0.0419,0.0007603133159268929
67,2018_2,1262,1915000,0.0419,0.0006590078328981723
68,2018_3,1430,1915000,0.0419,0.0007467362924281984
69,2018_4,1385,1915000,0.0419,0.0007232375979112272
70,2018_5,1491,1915000,0.0419,0.0007785900783289818
71,2018_6,1300,1915000,0.0419,0.0006788511749347258
72,2018_7,1255,1915000,0.0419,0.0006553524804177546
73,2018_8,1436,1915000,0.0419,0.000749869451697128
74,2018_9,1348,1915000,0.0419,0.0007039164490861619
75,2019_1,1346,1985000,0.0366,0.0006780856423173803
76,2019_10,1445,1985000,0.0366,0.0007279596977329975
77,2019_11,1295,1985000,0.0366,0.0006523929471032745
78,2019_12,1372,1985000,0.0366,0.000691183879093199
79,2019_2,1341,1985000,0.0366,0.0006755667506297229
80,2019_3,1467,1985000,0.0366,0.0007390428211586902
81,2019_4,1418,1985000,0.0366,0.0007143576826196473
82,2019_5,1422,1985000,0.0366,0.0007163727959697733
83,2019_6,1352,1985000,0.0366,0.0006811083123425693
84,2019_7,1355,1985000,0.0366,0.0006826196473551637
85,2019_8,1458,1985000,0.0366,0.0007345088161209068
86,2019_9,1289,1985000,0.0366,0.0006493702770780857
87,2020_1,1296,2053000,0.0343,0.0006312713102776424
88,2020_10,1146,2053000,0.0343,0.0005582075012177301
89,2020_11,1091,2053000,0.0343,0.0005314174378957623
90,2020_12,1149,2053000,0.0343,0.0005596687773989284
91,2020_2,1333,2053000,0.0343,0.0006492937165124208
92,2020_3,1044,2053000,0.0343,0.0005085241110569898
93,2020_4,650,2053000,0.0343,0.00031660983925962006
94,2020_5,790,2053000,0.0343,0.0003848027277155382
95,2020_6,843,2053000,0.0343,0.0004106186069167073
96,2020_7,858,2053000,0.0343,0.0004179249878226985
97,2020_8,995,2053000,0.0343,0.0004846566000974184
