,Month,Prediction,Actual,Crashes Avoided
0,2021_01,32,40,-8
1,2021_01,31,40,-9
1000,2021_02,25,36,-11
996,2021_03,31,64,-33
997,2021_03,35,64,-29
4842,2021_04,27,40,-13
4843,2021_04,42,40,2
6810,2021_05,31,54,-23
6811,2021_05,37,54,-17
2934,2021_06,33,40,-7
2935,2021_06,28,40,-12
2926,2021_07,27,56,-29
2927,2021_07,35,56,-21
11234,2021_08,36,44,-8
12952,2021_08,30,44,-14
14576,2021_09,27,72,-45
14577,2021_09,41,72,-31
14568,2021_10,39,64,-25
14892,2021_11,42,68,-26
17328,2021_12,28,70,-42
17329,2021_12,45,70,-25
